date,region,category,channel,units_sold,unit_price,revenue,month,month_name,quarter,weekday,is_weekend
2025-04-13,West,Beauty,In-Store,5,32.66,163.3,4,Apr,2,Sunday,True
2025-05-02,East,Electronics,Online,5,272.61,1363.05,5,May,2,Friday,False
2025-06-01,East,Electronics,In-Store,4,306.36,1225.44,6,Jun,2,Sunday,True
2025-07-11,West,Electronics,Online,6,213.21,1279.26,7,Jul,3,Friday,False
2025-12-11,North,Clothing,Online,4,55.78,223.12,12,Dec,4,Thursday,False
2025-09-28,South,Electronics,Online,4,263.92,1055.68,9,Sep,3,Sunday,True
2025-11-16,North,Electronics,Online,5,257.55,1287.75,11,Nov,4,Sunday,True
2025-10-01,West,Beauty,Online,2,29.16,58.32,10,Oct,4,Wednesday,False
2025-02-22,South,Home & Kitchen,Online,7,87.52,612.64,2,Feb,1,Saturday,True
2025-09-21,East,Electronics,Online,2,263.34,526.68,9,Sep,3,Sunday,True
2025-01-02,South,Clothing,Online,6,38.81,232.86,1,Jan,1,Thursday,False
2025-08-06,West,Beauty,In-Store,6,34.23,205.38,8,Aug,3,Wednesday,False
2025-09-28,West,Home & Kitchen,Online,6,78.41,470.46,9,Sep,3,Sunday,True
2025-07-27,North,Electronics,In-Store,2,263.34,526.68,7,Jul,3,Sunday,True
2025-07-07,West,Electronics,Online,5,219.96,1099.8,7,Jul,3,Monday,False
2025-11-23,North,Sports,Online,7,70.57,493.99,11,Nov,4,Sunday,True
2025-03-22,West,Home & Kitchen,In-Store,5,97.64,488.2,3,Mar,1,Saturday,True
2025-02-10,West,Sports,Online,2,53.29,106.58,2,Feb,1,Monday,False
2025-03-03,West,Home & Kitchen,Online,6,96.39,578.34,3,Mar,1,Monday,False
2025-08-15,North,Beauty,In-Store,5,31.23,156.15,8,Aug,3,Friday,False
2025-09-12,South,Clothing,Online,7,40.25,281.75,9,Sep,3,Friday,False
2025-06-28,East,Sports,Online,5,63.21,316.05,6,Jun,2,Saturday,True
2025-08-10,North,Electronics,Online,3,232.81,698.43,8,Aug,3,Sunday,True
2025-01-13,West,Home & Kitchen,In-Store,4,97.75,391.0,1,Jan,1,Monday,False
2025-02-14,South,Home & Kitchen,In-Store,4,74.99,299.96,2,Feb,1,Friday,False
2025-12-06,South,Sports,Online,7,72.51,507.57,12,Dec,4,Saturday,True
2025-08-19,South,Electronics,Online,6,212.55,1275.3,8,Aug,3,Tuesday,False
2025-08-21,East,Electronics,Online,1,260.98,260.98,8,Aug,3,Thursday,False
2025-08-13,East,Electronics,Online,3,244.82,734.46,8,Aug,3,Wednesday,False
2025-04-06,West,Home & Kitchen,Online,1,76.13,76.13,4,Apr,2,Sunday,True
2025-09-25,South,Home & Kitchen,In-Store,5,77.11,385.55,9,Sep,3,Thursday,False
