date,region,category,channel,units_sold,unit_price,revenue
2025-04-13,West,Beauty,In-Store,5,32.66,163.3
2025-05-02,East,Electronics,Online,5,272.61,1363.05
2025-06-01,East,Electronics,In-Store,4,306.36,1225.44
2025-07-11,West,Electronics,Online,6,213.21,1279.26
2025-12-11,North,Clothing,Online,4,55.78,312.37
2025-09-28,South,Electronics,Online,4,263.92,1055.68
2025-11-16,North,Electronics,Online,5,257.55,1802.85
2025-10-01,West,Beauty,Online,2,29.16,58.32
2025-02-22,South,Home & Kitchen,Online,7,87.52,612.64
2025-09-21,East,Electronics,Online,2,,557.5
2025-01-02,South,Clothing,Online,6,38.81,232.86
2025-08-06,West,Beauty,In-Store,6,34.23,205.38
2025-09-28,West,Home & Kitchen,Online,6,78.41,470.46
2025-07-27,North,Electronics,In-Store,2,,618.06
2025-07-07,West,Electronics,Online,5,219.96,1099.8
2025-11-23,North,Sports,Online,7,70.57,691.59
2025-03-22,West,Home & Kitchen,In-Store,5,97.64,488.2
2025-02-10,West,Sports,Online,2,53.29,106.58
2025-03-03,West,Home & Kitchen,Online,6,96.39,578.34
2025-08-15,North,Beauty,In-Store,5,,161.2
2025-09-12,South,Clothing,Online,7,40.25,281.75
2025-06-28,East,Sports,Online,5,63.21,316.05
2025-08-10,North,Electronics,Online,3,232.81,698.43
2025-01-13,West,Home & Kitchen,In-Store,4,97.75,391.0
2025-02-14,South,Home & Kitchen,In-Store,4,74.99,299.96
2025-12-06,South,Sports,Online,7,72.51,710.6
2025-08-19,South,Electronics,Online,6,212.55,1275.3
2025-08-21,East,Electronics,Online,1,260.98,260.98
2025-08-13,East,Electronics,Online,3,244.82,734.46
2025-04-06,West,Home & Kitchen,Online,1,76.13,76.13
2025-09-25,South,Home & Kitchen,In-Store,5,77.11,385.55
2025-03-22,East,Home & Kitchen,Online,6,69.06,414.36
2025-08-12,North,Home & Kitchen,In-Store,5,83.66,418.3
2025-06-09,South,Electronics,In-Store,3,249.47,748.41
2025-09-12,South,Clothing,Online,6,45.43,272.58
2025-08-28,West,Sports,Online,6,67.7,406.2
2025-09-16,West,Clothing,Online,2,47.47,94.94
2025-05-27,West,Home & Kitchen,Online,1,80.72,80.72
2025-02-08,South,Sports,In-Store,1,53.72,53.72
2025-05-31,East,Sports,Online,4,55.2,220.8
2025-04-22,North,Clothing,Online,1,39.93,39.93
2025-05-20,North,Beauty,Online,1,28.85,28.85
2025-05-27,West,Sports,In-Store,6,69.72,418.32
2025-04-26,East,Beauty,In-Store,4,32.47,129.88
2025-04-22,South,Beauty,In-Store,2,27.43,54.86
2025-12-04,South,Home & Kitchen,In-Store,1,73.63,103.08
2025-03-09,North,Clothing,Online,7,51.23,358.61
2025-05-08,North,Clothing,Online,6,43.02,258.12
2025-08-26,South,Beauty,Online,6,36.37,218.22
2025-01-27,South,Clothing,Online,7,47.12,329.84
2025-11-13,West,Electronics,Online,1,216.86,303.6
2025-06-21,West,Clothing,Online,6,44.91,269.46
2025-08-21,North,Beauty,Online,5,32.37,161.85
2025-07-07,North,Electronics,Online,7,239.35,1675.45
2025-11-19,West,Clothing,Online,6,50.78,426.55
2025-12-26,South,Electronics,Online,6,248.36,2086.22
2025-05-07,East,Electronics,Online,1,226.16,226.16
2025-09-03,West,Home & Kitchen,Online,2,93.92,187.84
2025-01-13,West,Clothing,Online,5,41.75,208.75
2025-09-21,West,Clothing,Online,3,44.33,132.99
2025-04-02,South,Electronics,Online,6,245.32,1471.92
2025-07-05,East,Beauty,In-Store,2,25.87,51.74
2025-06-29,South,Sports,Online,4,58.84,235.36
2025-09-21,North,Electronics,In-Store,7,221.03,1547.21
2025-12-31,West,Clothing,Online,7,40.74,399.25
2025-05-24,North,Beauty,In-Store,3,35.04,105.12
2025-11-15,East,Clothing,Online,5,41.57,290.99
2025-11-14,East,Clothing,In-Store,1,41.37,57.92
2025-01-01,East,Electronics,Online,1,278.52,278.52
2025-09-29,North,Home & Kitchen,Online,6,91.36,548.16
2025-03-17,South,Clothing,In-Store,1,44.4,44.4
2025-08-08,North,Electronics,Online,6,282.87,1697.22
2025-07-23,West,Electronics,Online,7,247.13,1729.91
2025-09-11,South,Home & Kitchen,Online,6,88.32,529.92
2025-10-17,West,Clothing,Online,2,47.27,94.54
2025-11-21,North,Electronics,Online,7,306.93,3007.91
2025-06-09,East,Sports,In-Store,3,66.44,199.32
2025-06-28,East,Beauty,Online,1,33.32,33.32
2025-02-12,West,Electronics,Online,6,214.32,1285.92
2025-08-30,East,Clothing,In-Store,5,53.46,267.3
2025-03-31,South,Sports,Online,4,67.63,270.52
2025-04-24,North,Beauty,Online,1,35.14,35.14
2025-09-06,West,Electronics,In-Store,3,311.55,934.65
2025-02-05,South,Electronics,Online,7,305.58,2139.06
2025-02-06,West,Clothing,In-Store,1,42.54,42.54
2025-10-13,North,Clothing,Online,1,44.01,44.01
2025-07-06,East,Clothing,Online,1,53.5,53.5
2025-09-22,East,Beauty,In-Store,4,32.38,129.52
2025-05-24,North,Electronics,Online,4,279.75,1119.0
2025-02-22,East,Sports,Online,5,62.87,314.35
2025-08-11,South,Clothing,In-Store,3,50.95,152.85
2025-08-27,West,Home & Kitchen,In-Store,1,71.24,71.24
2025-01-07,South,Home & Kitchen,Online,2,96.54,193.08
2025-07-13,North,Clothing,Online,5,44.92,224.6
2025-05-25,East,Beauty,Online,4,30.02,120.08
2025-10-02,North,Clothing,In-Store,2,54.56,109.12
2025-02-08,South,Clothing,Online,4,48.54,194.16
2025-05-28,West,Sports,In-Store,7,68.91,482.37
2025-12-14,South,Clothing,Online,1,53.88,75.43
2025-04-27,South,Sports,In-Store,5,52.04,260.2
2025-05-29,West,Clothing,In-Store,5,42.8,214.0
2025-05-27,West,Electronics,Online,1,282.07,282.07
2025-01-01,North,Home & Kitchen,Online,7,69.45,486.15
2025-01-12,South,Beauty,In-Store,4,26.78,107.12
2025-01-08,South,Electronics,Online,2,235.44,470.88
2025-01-28,West,Clothing,Online,3,50.82,152.46
2025-05-25,North,Clothing,In-Store,4,43.13,172.52
2025-02-15,East,Sports,In-Store,5,65.72,328.6
2025-01-10,West,Sports,Online,5,51.63,258.15
2025-10-16,South,Sports,In-Store,1,60.04,60.04
2025-10-09,East,Clothing,In-Store,1,53.34,53.34
2025-04-08,North,Clothing,Online,7,53.82,376.74
2025-07-16,East,Home & Kitchen,In-Store,7,92.61,648.27
2025-06-14,South,Sports,Online,6,55.92,335.52
2025-01-01,East,Electronics,Online,1,279.67,279.67
2025-10-15,South,Clothing,Online,2,47.22,94.44
2025-04-28,East,Clothing,In-Store,6,55.67,334.02
2025-08-10,East,Clothing,Online,7,45.82,320.74
2025-08-17,North,Home & Kitchen,In-Store,7,72.36,506.52
2025-09-09,South,Clothing,Online,6,48.24,289.44
2025-11-04,North,Clothing,In-Store,4,43.61,244.22
2025-04-16,East,Home & Kitchen,In-Store,2,97.65,195.3
2025-11-26,North,Electronics,Online,2,274.58,768.82
2025-07-24,South,Home & Kitchen,Online,3,85.19,255.57
2025-05-31,East,Home & Kitchen,Online,4,73.82,295.28
2025-07-03,North,Sports,Online,5,74.35,371.75
2025-03-02,South,Electronics,In-Store,2,240.36,480.72
2025-11-13,South,Electronics,Online,1,248.1,347.34
2025-02-15,South,Electronics,Online,3,216.43,649.29
2025-09-06,East,Home & Kitchen,Online,6,73.02,438.12
2025-02-17,North,Electronics,In-Store,1,272.23,272.23
2025-06-29,East,Clothing,In-Store,6,49.38,296.28
2025-03-19,West,Home & Kitchen,Online,3,76.08,228.24
2025-01-07,East,Sports,Online,7,51.73,362.11
2025-10-01,South,Clothing,Online,1,,51.52
2025-01-28,South,Home & Kitchen,In-Store,6,78.48,470.88
2025-10-27,North,Sports,Online,4,59.52,238.08
2025-08-21,North,Clothing,Online,6,48.81,292.86
2025-09-21,West,Clothing,Online,1,44.32,44.32
2025-06-29,South,Home & Kitchen,Online,3,99.57,298.71
2025-08-17,North,Electronics,Online,6,249.04,1494.24
